Zipcode;City;Region
1000;Lausanne St-Paul;VD
1000;Lausanne 17;VD
1000;Lausanne 19;VD
1000;Lausanne Sévelin;VD
1000;Lausanne 22;VD
1000;Lausanne Dist;VD
1000;Lausanne 10;VD
1000;Lausanne 18;VD
1000;Lausanne 1 Dépôt;VD
1000;Lausanne 3;VD
1000;Lausanne Ouchy;VD
1000;Lausanne Bellevaux;VD
1000;Lausanne Grangette;VD
1000;Lausanne Bourdon.;VD
1000;Lausanne 25;VD
1000;Lausanne 26;VD
1000;Lausanne 27;VD
1000;Lausanne;VD
1000;Lausanne 2;VD
1000;Lausanne 12;VD
1000;Lausanne 14;VD
1000;Lausanne 16;VD
1000;Lausanne 24;VD
1001;Lausanne Sozialb.;VD
1001;Lausanne PF331-140;VD
1001;Lausanne Jurassien;VD
1001;Lausanne;VD
1002;Lausanne;VD
1003;Lausanne;VD
1004;Lausanne;VD
1005;Lausanne;VD
1006;Lausanne;VD
1007;Lausanne;VD
1008;Jouxtens-Mézery;VD
1008;Prilly;VD
1009;Pully;VD
1010;Lausanne;VD
1011;Lausanne;VD
1012;Lausanne;VD
1014;Lausanne Adm cant;VD
1015;Lausanne;VD
1018;Lausanne;VD
1019;Lausanne;VD
1020;Renens VD 1;VD
1020;Renens VD Village;VD
1020;Renens VD;VD
1020;Renens VD 1 Dist;VD
1022;Chavannes-Renens;VD
1023;Crissier;VD
1023;Crissier 1 Dist;VD
1023;Crissier Closalet;VD
1023;Crissier 1;VD
1023;Crissier Chisaz;VD
1024;Ecublens VD;VD
1025;St-Sulpice VD;VD
1026;Denges;VD
1026;Echandens;VD
1026;Echandens-Denges;VD
1026;Echandens-D. Lonay;VD
1027;Lonay;VD
1028;Préverenges;VD
1029;Villars-Ste-Croix;VD
1030;Bussigny;VD
1030;Bussigny Dist;VD
1030;Bussigny Industrie;VD
1031;Mex VD;VD
1032;Romanel-s-Lausanne;VD
1033;Cheseaux-Lausanne;VD
1033;Cheseaux Dist;VD
1034;Boussens;VD
1035;Bournens;VD
1036;Sullens;VD
1037;Etagnières;VD
1038;Bercher;VD
1039;Cheseaux Polyval;VD
1040;Echallens;VD
1040;St-Barthélemy VD;VD
1040;Villars-le-Terroir;VD
1040;Echallens Dist;VD
1041;Bottens;VD
1041;Naz;VD
1041;Montaubion-Chardon;VD
1041;Dommartin;VD
1041;Poliez-le-Grand;VD
1041;Poliez-Pittet;VD
1042;Assens;VD
1042;Bettens;VD
1042;Bioley-Orjulaz;VD
1043;Sugnens;VD
1044;Fey;VD
1045;Ogens;VD
1046;Rueyres;VD
1047;Oppens;VD
1052;Mont-sur-Lausanne;VD
1052;Mont-Lausanne Dist;VD
1053;Bretigny-Morrens;VD
1053;Cugy VD;VD
1054;Morrens VD;VD
1055;Froideville;VD
1058;Villars-Tiercelin;VD
1059;Peney-le-Jorat;VD
1061;Villars-Mendraz;VD
1062;Sottens;VD
1063;Boulens;VD
1063;Martherenges;VD
1063;Chapelle-s-Moudon;VD
1063;Peyres-Possens;VD
1066;Epalinges;VD
1068;Les Monts-de-Pully;VD
1070;Puidoux;VD
1071;Chexbres;VD
1071;St-Saphorin-Lavaux;VD
1071;Chexbres Dist;VD
